iter	Passed	Remaining
407	5342	1204
408	5355	1191
409	5368	1178
410	5380	1165
411	5393	1151
412	5405	1138
413	5417	1125
414	5429	1112
415	5441	1098
416	5454	1085
417	5466	1072
418	5479	1059
419	5491	1046
420	5503	1032
421	5515	1019
422	5528	1006
423	5541	993
424	5554	980
425	5566	967
426	5579	953
427	5592	940
428	5604	927
429	5616	914
430	5628	901
431	5641	887
432	5654	874
433	5668	862
434	5682	849
435	5697	836
436	5712	823
437	5726	810
438	5742	797
439	5756	784
440	5770	772
441	5783	758
442	5798	746
443	5812	733
444	5826	720
445	5839	707
446	5852	693
447	5864	680
448	5877	667
449	5891	654
450	5905	641
451	5918	628
452	5930	615
453	5943	602
454	5955	589
455	5968	575
456	5981	562
457	5993	549
458	6005	536
459	6019	523
460	6031	510
461	6044	497
462	6057	484
463	6069	470
464	6082	457
465	6094	444
466	6106	431
467	6119	418
468	6132	405
469	6145	392
470	6157	379
471	6168	365
472	6181	352
473	6193	339
474	6206	326
475	6218	313
476	6231	300
477	6243	287
478	6256	274
479	6269	261
480	6282	248
481	6294	235
482	6306	221
483	6318	208
484	6331	195
485	6343	182
486	6355	169
487	6367	156
488	6379	143
489	6392	130
490	6404	117
491	6417	104
492	6429	91
493	6441	78
494	6454	65
495	6465	52
496	6477	39
497	6490	26
498	6502	13
499	6514	0
