iter	Accuracy	MultiClass
0	0.9915733224	0.6461164283
1	0.9902373857	0.6038351207
2	0.9913677936	0.5653201617
3	0.9911622649	0.5302650948
4	0.9904429144	0.4979707429
5	0.9905456788	0.468793512
6	0.9902373857	0.4416845106
7	0.9902373857	0.4165393123
8	0.9908539718	0.3932169261
9	0.9907512075	0.3712135563
10	0.9911622649	0.3511572838
11	0.9906484431	0.3324205009
12	0.9910595006	0.3147538842
13	0.9908539718	0.2984775425
14	0.9912650293	0.2827275347
15	0.9909567362	0.268367912
16	0.9910595006	0.2549679053
17	0.991470558	0.2425035336
18	0.9912650293	0.2306795214
19	0.9909567362	0.2197126516
20	0.9909567362	0.2088440083
21	0.9909567362	0.1987522497
22	0.9910595006	0.189227052
23	0.991470558	0.1805042495
24	0.991470558	0.171955838
25	0.9920871442	0.1639442705
26	0.9921899085	0.1562447467
27	0.9921899085	0.1491668134
28	0.9923954373	0.1422325179
29	0.9921899085	0.1362126335
30	0.9923954373	0.1301761912
31	0.9927037303	0.1244665558
32	0.9927037303	0.1190583949
33	0.9927037303	0.1139280648
34	0.9929092591	0.1089993764
35	0.9932175522	0.1043635107
36	0.9930120234	0.1001531263
37	0.9931147878	0.09615403275
38	0.9929092591	0.0922285882
39	0.9932175522	0.08855620099
40	0.9932175522	0.08508530982
41	0.9932175522	0.08201057553
42	0.9932175522	0.0788763673
43	0.9934230809	0.07596984825
44	0.9936286096	0.07310449416
45	0.9935258452	0.07035377928
46	0.9938341383	0.06769776379
47	0.9939369027	0.06523411173
48	0.994039667	0.06310836771
49	0.9943479601	0.06080377286
50	0.9943479601	0.05884805596
51	0.9944507245	0.05683503827
52	0.9945534889	0.05504070028
53	0.9946562532	0.0533126818
54	0.9946562532	0.0515236053
55	0.9946562532	0.04987720837
56	0.9948617819	0.04839188673
57	0.9948617819	0.04691689474
58	0.9949645463	0.04548558614
59	0.9949645463	0.04415799517
60	0.9950673107	0.04293307593
61	0.9952728394	0.04171520415
62	0.9952728394	0.04055243184
63	0.9953756037	0.03946549866
64	0.9953756037	0.03845016983
65	0.9954783681	0.03751225391
66	0.9954783681	0.03653202735
67	0.9953756037	0.03566919294
68	0.9953756037	0.03493632009
69	0.9956838968	0.03407720953
70	0.9956838968	0.03327918094
71	0.9956838968	0.03254928046
72	0.9956838968	0.03186766304
73	0.9956838968	0.03116934043
74	0.9956838968	0.030538612
75	0.9957866612	0.02999489282
76	0.9957866612	0.02941283079
77	0.9958894255	0.02884662994
78	0.9958894255	0.02827752593
79	0.9957866612	0.02776967186
80	0.9959921899	0.02746058237
81	0.9959921899	0.02704120008
82	0.9959921899	0.02664062879
83	0.9958894255	0.02617535259
84	0.9958894255	0.0257371656
85	0.9959921899	0.02533662719
86	0.9959921899	0.02495228706
87	0.9959921899	0.02463364519
88	0.9959921899	0.02433338586
89	0.9959921899	0.02401439738
90	0.9959921899	0.02365369092
91	0.9959921899	0.02337081292
92	0.9959921899	0.02304971528
93	0.9958894255	0.02280860071
94	0.9959921899	0.02255998444
95	0.9959921899	0.02233429864
96	0.9959921899	0.022177571
97	0.9959921899	0.02203800412
98	0.9959921899	0.02180155727
99	0.9959921899	0.0215931208
100	0.9959921899	0.02139291772
101	0.9960949543	0.02122342406
102	0.9960949543	0.02110625368
